"[99/100] [23/24] took: 9.990, d_loss: 0.48019, g_loss: 2.79254"
"[98/100] [23/24] took: 12.919, d_loss: 0.92338, g_loss: 1.28135"
"[97/100] [23/24] took: 7.284, d_loss: 0.71338, g_loss: 1.16499"
"[96/100] [23/24] took: 9.415, d_loss: 1.27170, g_loss: 0.92655"
"[95/100] [23/24] took: 7.058, d_loss: 0.94141, g_loss: 5.24963"
"[94/100] [23/24] took: 10.666, d_loss: 0.88800, g_loss: 1.54966"
"[93/100] [23/24] took: 8.145, d_loss: 0.47665, g_loss: 2.25943"
"[92/100] [23/24] took: 8.758, d_loss: 0.38946, g_loss: 2.32347"
"[91/100] [23/24] took: 6.539, d_loss: 0.37608, g_loss: 3.00606"
"[90/100] [23/24] took: 7.065, d_loss: 0.69492, g_loss: 3.39520"
"[89/100] [23/24] took: 7.174, d_loss: 1.13293, g_loss: 1.86516"
"[88/100] [23/24] took: 7.722, d_loss: 0.48458, g_loss: 2.10152"
"[87/100] [23/24] took: 5.508, d_loss: 0.86956, g_loss: 1.22491"
"[86/100] [23/24] took: 7.011, d_loss: 0.60521, g_loss: 2.06079"
"[85/100] [23/24] took: 7.564, d_loss: 0.79785, g_loss: 1.09334"
"[84/100] [23/24] took: 7.206, d_loss: 0.38204, g_loss: 3.20080"
"[83/100] [23/24] took: 8.567, d_loss: 0.64285, g_loss: 1.92103"
"[82/100] [23/24] took: 7.408, d_loss: 0.83675, g_loss: 2.17434"
"[81/100] [23/24] took: 8.217, d_loss: 0.87882, g_loss: 1.30348"
"[80/100] [23/24] took: 8.141, d_loss: 0.95893, g_loss: 3.65269"
"[79/100] [23/24] took: 9.072, d_loss: 0.48078, g_loss: 2.68626"
"[78/100] [23/24] took: 8.360, d_loss: 1.59655, g_loss: 1.19079"
"[77/100] [23/24] took: 10.290, d_loss: 0.56421, g_loss: 2.34269"
"[76/100] [23/24] took: 6.664, d_loss: 1.00046, g_loss: 1.09117"
"[75/100] [23/24] took: 10.018, d_loss: 0.46070, g_loss: 1.77249"
"[74/100] [23/24] took: 9.973, d_loss: 3.71232, g_loss: 10.71044"
"[73/100] [23/24] took: 9.924, d_loss: 0.71181, g_loss: 2.94971"
"[72/100] [23/24] took: 9.206, d_loss: 0.91602, g_loss: 1.21829"
"[71/100] [23/24] took: 10.455, d_loss: 0.58170, g_loss: 1.91239"
"[70/100] [23/24] took: 8.909, d_loss: 1.39392, g_loss: 2.38767"
"[69/100] [23/24] took: 9.349, d_loss: 1.08698, g_loss: 4.61517"
"[68/100] [23/24] took: 9.191, d_loss: 1.14349, g_loss: 1.39472"
"[67/100] [23/24] took: 12.149, d_loss: 0.53983, g_loss: 2.05688"
"[66/100] [23/24] took: 10.413, d_loss: 0.57075, g_loss: 2.13352"
"[65/100] [23/24] took: 10.497, d_loss: 0.44686, g_loss: 2.20341"
"[64/100] [23/24] took: 8.029, d_loss: 0.34255, g_loss: 3.30505"
"[63/100] [23/24] took: 9.662, d_loss: 0.62420, g_loss: 2.28627"
"[62/100] [23/24] took: 9.815, d_loss: 0.11980, g_loss: 2.82088"
"[61/100] [23/24] took: 8.899, d_loss: 0.95399, g_loss: 1.89271"
"[60/100] [23/24] took: 14.755, d_loss: 1.40247, g_loss: 1.31963"
"[59/100] [23/24] took: 8.845, d_loss: 0.59462, g_loss: 1.95847"
